HR,WT,Sal
POST,POST,LOW
POST,POST,LOW
POST,POST,LOW
POST,POST,MOD
POST,POST,MOD
POST,POST,MOD
POST,POST,MOD
POST,POST,MOD
POST,POST,MOD
POST,POST,HIGH
POST,POST,HIGH
POST,POST,HIGH
POST,POST,MOD
POST,POST,MOD
POST,POST,MOD
POST,POST,LOW
POST,POST,LOW
POST,POST,LOW
POST,POST,LOW
POST,POST,LOW
POST,POST,LOW
POST,POST,LOW
POST,POST,LOW
POST,POST,LOW
POST,POST,LOW
POST,POST,LOW
POST,POST,LOW
POST,POST,LOW
POST,POST,LOW
POST,POST,LOW
POST,POST,LOW
POST,POST,LOW
POST,POST,LOW
POST,POST,LOW
POST,POST,LOW
POST,POST,LOW
POST,POST,MOD
POST,POST,MOD
POST,POST,MOD
POST,POST,MOD
POST,POST,HIGH
POST,POST,HIGH
POST,POST,HIGH
POST,POST,HIGH
POST,POST,HIGH
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,MOD
POST,PRE,MOD
POST,PRE,MOD
POST,PRE,HIGH
POST,PRE,HIGH
POST,PRE,HIGH
POST,PRE,MOD
POST,PRE,MOD
POST,PRE,MOD
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,LOW
POST,PRE,MOD
POST,PRE,LOW
POST,PRE,HIGH
POST,PRE,HIGH
POST,PRE,HIGH
POST,PRE,HIGH
POST,PRE,HIGH
PRE,POST,LOW
PRE,POST,LOW
PRE,POST,LOW
PRE,POST,MOD
PRE,POST,MOD
PRE,POST,MOD
PRE,POST,MOD
PRE,POST,MOD
PRE,POST,MOD
PRE,POST,HIGH
PRE,POST,HIGH
PRE,POST,HIGH
PRE,POST,MOD
PRE,POST,MOD
PRE,POST,MOD
PRE,POST,MOD
PRE,POST,LOW
PRE,POST,LOW
PRE,POST,LOW
PRE,POST,LOW
PRE,POST,LOW
PRE,POST,LOW
PRE,POST,MOD
PRE,POST,MOD
PRE,POST,MOD
PRE,POST,LOW
PRE,POST,LOW
PRE,POST,LOW
PRE,POST,LOW
PRE,POST,LOW
PRE,POST,LOW
PRE,POST,LOW
PRE,POST,MOD
PRE,POST,LOW
PRE,POST,LOW
PRE,POST,MOD
PRE,POST,MOD
PRE,POST,MOD
PRE,POST,MOD
PRE,POST,MOD
PRE,POST,HIGH
PRE,POST,HIGH
PRE,POST,HIGH
PRE,POST,HIGH
PRE,POST,HIGH
PRE,PRE,LOW
PRE,PRE,LOW
PRE,PRE,LOW
PRE,PRE,LOW
PRE,PRE,LOW
PRE,PRE,MOD
PRE,PRE,MOD
PRE,PRE,MOD
PRE,PRE,MOD
PRE,PRE,HIGH
PRE,PRE,HIGH
PRE,PRE,HIGH
PRE,PRE,MOD
PRE,PRE,MOD
PRE,PRE,MOD
PRE,PRE,MOD
PRE,PRE,LOW
PRE,PRE,LOW
PRE,PRE,LOW
PRE,PRE,LOW
PRE,PRE,LOW
PRE,PRE,LOW
PRE,PRE,LOW
PRE,PRE,MOD
PRE,PRE,LOW
PRE,PRE,LOW
PRE,PRE,LOW
PRE,PRE,LOW
PRE,PRE,LOW
PRE,PRE,LOW
PRE,PRE,LOW
PRE,PRE,LOW
PRE,PRE,MOD
PRE,PRE,LOW
PRE,PRE,LOW
PRE,PRE,LOW
PRE,PRE,LOW
PRE,PRE,MOD
PRE,PRE,MOD
PRE,PRE,MOD
PRE,PRE,HIGH
PRE,PRE,HIGH
PRE,PRE,HIGH
PRE,PRE,HIGH
PRE,PRE,HIGH
